食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
11029,1644,＜畜肉類＞ うし ［和牛肉］ ヒレ 赤肉 生,207.0,19.1,15.0,0.3
11030,1645,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 脂身つき 生,231.0,17.1,19.8,0.3
11309,1646,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 脂身つき ゆで,298.0,20.8,23.8,0.1
11310,1647,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 脂身つき 焼き,322.0,23.0,25.5,0.2
11031,1648,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 皮下脂肪なし 生,193.0,17.9,14.9,0.4
11032,1649,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 赤肉 生,138.0,20.4,6.7,0.2
11301,1650,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 赤肉 ゆで,174.0,27.9,7.1,1.0
11302,1651,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 赤肉 焼き,175.0,26.9,7.7,0.8
11033,1652,＜畜肉類＞ うし ［乳用肥育牛肉］ かた 脂身 生,650.0,4.5,73.3,0.0
11034,1653,＜畜肉類＞ うし ［乳用肥育牛肉］ かたロース 脂身つき 生,295.0,16.2,26.4,0.2
11035,1654,＜畜肉類＞ うし ［乳用肥育牛肉］ かたロース 皮下脂肪なし 生,285.0,16.5,25.2,0.2
11036,1655,＜畜肉類＞ うし ［乳用肥育牛肉］ かたロース 赤肉 生,196.0,19.1,13.9,0.2
11037,1656,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 脂身つき 生,380.0,14.1,37.1,0.2
11039,1657,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 脂身つき ゆで,428.0,17.2,43.0,0.3
11038,1658,＜畜肉類＞ うし ［乳用肥育牛肉］ リブロース 脂身つき 焼き,457.0,20.4,45.0,0.3
