食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
01001,1,アマランサス 玄穀,343.0,12.7,6.0,64.9
01002,2,あわ 精白粒,346.0,11.2,4.4,69.7
01003,3,あわ あわもち,210.0,5.1,1.3,45.3
01004,4,えんばく オートミール,350.0,13.7,5.7,69.1
01005,5,おおむぎ 七分つき押麦,343.0,10.9,2.1,72.1
01006,6,おおむぎ 押麦 乾,329.0,6.7,1.5,78.3
01170,7,おおむぎ 押麦 めし,118.0,2.2,0.5,28.5
01007,8,おおむぎ 米粒麦,333.0,7.0,2.1,76.2
01008,9,おおむぎ 大麦めん 乾,343.0,12.9,1.7,68.0
01009,10,おおむぎ 大麦めん ゆで,121.0,4.8,0.6,24.3
01010,11,おおむぎ 麦こがし,368.0,12.5,5.0,77.1
01167,12,キヌア 玄穀,344.0,13.4,3.2,69.0
01011,13,きび 精白粒,353.0,11.3,3.3,70.9
01012,14,こむぎ ［玄穀］ 国産 普通,329.0,10.8,3.1,72.1
01013,15,こむぎ ［玄穀］ 輸入 軟質,344.0,10.1,3.3,75.2
01014,16,こむぎ ［玄穀］ 輸入 硬質,332.0,13.0,3.0,69.4
01015,17,こむぎ ［小麦粉］ 薄力粉 1等,349.0,8.3,1.5,75.8
01016,18,こむぎ ［小麦粉］ 薄力粉 2等,345.0,9.3,1.9,74.3
01018,19,こむぎ ［小麦粉］ 中力粉 1等,337.0,9.0,1.6,75.1
01019,20,こむぎ ［小麦粉］ 中力粉 2等,346.0,9.7,1.8,74.0
01020,21,こむぎ ［小麦粉］ 強力粉 1等,337.0,11.8,1.5,71.7
01021,22,こむぎ ［小麦粉］ 強力粉 2等,343.0,12.6,1.7,70.6
01023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,320.0,12.8,2.9,68.2
01146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,335.0,10.1,1.9,73.6
01024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,360.0,7.8,4.0,74.4
01147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,311.0,10.2,1.2,70.0
01025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,337.0,8.8,1.3,76.1
01171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,132.0,3.3,0.5,30.2
01172,29,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,588.0,4.3,47.7,37.0
01026,30,こむぎ ［パン類］ 角形食パン 食パン,248.0,8.9,4.1,46.4
01174,31,こむぎ ［パン類］ 角形食パン 焼き,269.0,9.7,4.5,50.6
01175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,226.0,8.2,3.7,42.6
01176,33,こむぎ ［パン類］ 角形食パン 耳,273.0,9.7,4.5,50.8
01206,34,こむぎ ［パン類］ 食パン リーンタイプ,246.0,8.0,3.7,47.5
01207,35,こむぎ ［パン類］ 食パン リッチタイプ,256.0,7.8,6.0,45.6
01205,36,こむぎ ［パン類］ 山形食パン 食パン,246.0,7.8,3.5,47.9
01028,37,こむぎ ［パン類］ コッペパン,259.0,8.5,3.8,49.1
01030,38,こむぎ ［パン類］ 乾パン,386.0,9.5,4.4,78.8
01031,39,こむぎ ［パン類］ フランスパン,289.0,9.4,1.3,57.5
01032,40,こむぎ ［パン類］ ライ麦パン,252.0,8.4,2.2,52.7
01208,41,こむぎ ［パン類］ 全粒粉パン,251.0,7.9,5.7,45.5
01033,42,こむぎ ［パン類］ ぶどうパン,263.0,8.2,3.5,51.1
01034,43,こむぎ ［パン類］ ロールパン,309.0,10.1,9.0,48.6
01209,44,こむぎ ［パン類］ クロワッサン レギュラータイプ,406.0,6.5,20.4,51.5
01035,45,こむぎ ［パン類］ クロワッサン リッチタイプ,438.0,7.9,26.8,43.9
01210,46,こむぎ ［パン類］ くるみパン,292.0,8.2,12.6,38.7
01036,47,こむぎ ［パン類］ イングリッシュマフィン,224.0,8.1,3.6,40.8
01037,48,こむぎ ［パン類］ ナン,257.0,10.3,3.4,47.6
01148,49,こむぎ ［パン類］ ベーグル,270.0,9.6,2.0,54.6
01038,50,こむぎ ［うどん・そうめん類］ うどん 生,249.0,6.1,0.6,56.8
01039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,95.0,2.6,0.4,21.6
01186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,296.0,7.8,3.4,62.5
01041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,333.0,8.5,1.1,71.9
01042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,117.0,3.1,0.5,25.8
01043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,333.0,9.5,1.1,72.7
01044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,114.0,3.5,0.4,25.8
01045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,312.0,9.3,1.5,68.9
01046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,119.0,3.5,0.6,25.5
01047,59,こむぎ ［中華めん類］ 中華めん 生,249.0,8.6,1.2,55.7
01048,60,こむぎ ［中華めん類］ 中華めん ゆで,133.0,4.9,0.6,29.2
01187,61,こむぎ ［中華めん類］ 半生中華めん,305.0,9.9,4.0,61.2
01049,62,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,162.0,4.9,1.7,35.6
01188,63,こむぎ ［中華めん類］ 蒸し中華めん  ソテー,211.0,5.2,4.9,38.9
01050,64,こむぎ ［中華めん類］ 干し中華めん 乾,337.0,11.7,1.6,70.2
01051,65,こむぎ ［中華めん類］ 干し中華めん ゆで,131.0,4.9,0.5,27.5
01052,66,こむぎ ［中華めん類］ 沖縄そば 生,266.0,9.2,2.0,54.2
01053,67,こむぎ ［中華めん類］ 沖縄そば ゆで,132.0,5.2,0.8,28.0
01054,68,こむぎ ［中華めん類］ 干し沖縄そば 乾,317.0,12.0,1.7,67.8
01055,69,こむぎ ［中華めん類］ 干し沖縄そば ゆで,132.0,5.2,0.6,28.6
01056,70,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,424.0,10.1,16.7,63.5
01057,71,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,439.0,10.1,19.1,61.4
01198,72,こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,100.0,2.3,4.4,13.4
01189,73,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,189.0,3.9,7.7,27.9
01144,74,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,453.0,8.9,19.6,65.5
01058,75,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,336.0,10.3,5.2,67.1
01199,76,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,93.0,3.0,0.8,18.7
01190,77,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,139.0,3.4,0.8,31.0
01145,78,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,334.0,8.5,1.9,75.2
01193,79,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,422.0,10.9,18.5,58.6
01201,80,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,92.0,2.5,4.2,13.2
01194,81,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,175.0,3.8,7.7,25.2
01191,82,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,417.0,10.0,19.1,54.6
01200,83,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,90.0,2.3,4.5,12.9
01192,84,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,142.0,3.0,5.8,20.7
01060,85,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,418.0,8.2,18.6,57.5
01202,86,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,222.0,5.0,11.3,34.2
01061,87,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,314.0,9.2,5.8,62.6
01203,88,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,66.0,2.5,2.1,10.2
01195,89,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,121.0,3.4,1.3,25.3
01062,90,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,437.0,10.9,19.8,56.1
01204,91,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,91.0,2.2,4.7,11.2
01196,92,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,163.0,2.7,7.2,24.4
01063,93,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,347.0,12.9,1.8,73.1
01064,94,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,150.0,5.8,0.9,32.2
01173,95,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,186.0,5.5,5.8,30.5
01149,96,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,232.0,7.8,1.9,46.9
01065,97,こむぎ ［ふ類］ 生ふ,161.0,12.7,0.8,26.2
01066,98,こむぎ ［ふ類］ 焼きふ 釜焼きふ,357.0,28.5,2.7,56.9
01067,99,こむぎ ［ふ類］ 焼きふ 板ふ,351.0,25.6,3.3,57.3
01068,100,こむぎ ［ふ類］ 焼きふ 車ふ,361.0,30.2,3.4,54.2
01177,101,こむぎ ［ふ類］ 油ふ,547.0,22.7,35.3,34.4
01070,102,こむぎ ［その他］ 小麦はいが,391.0,32.0,11.6,48.3
01071,103,こむぎ ［その他］ 小麦たんぱく 粉末状,398.0,72.0,9.7,10.6
01072,104,こむぎ ［その他］ 小麦たんぱく 粒状,101.0,20.0,2.0,1.8
01073,105,こむぎ ［その他］ 小麦たんぱく ペースト状,145.0,25.0,4.1,3.9
01178,106,こむぎ ［その他］ かやきせんべい,359.0,10.6,1.9,75.1
01074,107,こむぎ ［その他］ ぎょうざの皮 生,275.0,9.3,1.4,57.0
01075,108,こむぎ ［その他］ しゅうまいの皮 生,275.0,8.3,1.4,58.9
01179,109,こむぎ ［その他］ 春巻きの皮 生,288.0,8.3,1.6,62.2
01180,110,こむぎ ［その他］ 春巻きの皮 揚げ,512.0,7.2,30.7,53.7
01076,111,こむぎ ［その他］ ピザ生地,265.0,9.1,3.0,51.1
01069,112,こむぎ ［その他］ ちくわぶ,160.0,7.1,1.2,31.1
01077,113,こむぎ ［その他］ パン粉 生,277.0,11.0,5.1,47.6
01078,114,こむぎ ［その他］ パン粉 半生,315.0,12.5,5.8,54.3
01079,115,こむぎ ［その他］ パン粉 乾燥,369.0,14.6,6.8,63.4
01150,116,こむぎ ［その他］ 冷めん 生,249.0,3.9,0.7,57.6
01080,117,こめ ［水稲穀粒］ 玄米,346.0,6.8,2.7,74.3
01081,118,こめ ［水稲穀粒］ 半つき米,345.0,6.5,1.8,75.9
01082,119,こめ ［水稲穀粒］ 七分つき米,348.0,6.3,1.5,76.6
01083,120,こめ ［水稲穀粒］ 精白米 うるち米,342.0,6.1,0.9,77.6
01151,121,こめ ［水稲穀粒］ 精白米 もち米,343.0,6.4,1.2,77.2
01152,122,こめ ［水稲穀粒］ 精白米 インディカ米,347.0,7.4,0.9,77.7
01084,123,こめ ［水稲穀粒］ はいが精米,343.0,6.5,2.0,75.8
01153,124,こめ ［水稲穀粒］ 発芽玄米,339.0,6.5,3.3,74.3
01181,125,こめ ［水稲穀粒］ 赤米,344.0,8.5,3.3,71.9
01182,126,こめ ［水稲穀粒］ 黒米,341.0,7.8,3.2,72.0
01085,127,こめ ［水稲めし］ 玄米,152.0,2.8,1.0,35.6
01086,128,こめ ［水稲めし］ 半つき米,154.0,2.7,0.6,36.4
01087,129,こめ ［水稲めし］ 七分つき米,160.0,2.6,0.5,36.7
01168,130,こめ ［水稲めし］ 精白米 インディカ米,184.0,3.8,0.4,41.5
01088,131,こめ ［水稲めし］ 精白米 うるち米,156.0,2.5,0.3,37.1
01154,132,こめ ［水稲めし］ 精白米 もち米,188.0,3.5,0.5,43.9
01089,133,こめ ［水稲めし］ はいが精米,159.0,2.7,0.6,36.4
01155,134,こめ ［水稲めし］ 発芽玄米,161.0,3.0,1.4,35.0
01183,135,こめ ［水稲めし］ 赤米,150.0,3.8,1.3,32.7
01184,136,こめ ［水稲めし］ 黒米,150.0,3.6,1.4,32.2
01185,137,こめ ［水稲軟めし］ 精白米,113.0,1.8,0.3,26.4
01090,138,こめ ［水稲全かゆ］ 玄米,64.0,1.2,0.4,15.2
01091,139,こめ ［水稲全かゆ］ 半つき米,65.0,1.1,0.3,15.5
01092,140,こめ ［水稲全かゆ］ 七分つき米,68.0,1.1,0.2,15.6
01093,141,こめ ［水稲全かゆ］ 精白米,65.0,1.1,0.1,15.7
01094,142,こめ ［水稲五分かゆ］ 玄米,32.0,0.6,0.2,7.6
01095,143,こめ ［水稲五分かゆ］ 半つき米,32.0,0.6,0.1,7.7
01096,144,こめ ［水稲五分かゆ］ 七分つき米,32.0,0.6,0.1,7.7
01097,145,こめ ［水稲五分かゆ］ 精白米,33.0,0.5,0.1,7.9
01098,146,こめ ［水稲おもゆ］ 玄米,19.0,0.4,0.1,4.4
01099,147,こめ ［水稲おもゆ］ 半つき米,19.0,0.3,0.1,4.6
01100,148,こめ ［水稲おもゆ］ 七分つき米,20.0,0.3,0.1,4.6
01101,149,こめ ［水稲おもゆ］ 精白米,19.0,0.3,0.0,4.7
01102,150,こめ ［陸稲穀粒］ 玄米,357.0,10.1,2.7,71.1
01103,151,こめ ［陸稲穀粒］ 半つき米,356.0,9.6,1.8,72.9
01104,152,こめ ［陸稲穀粒］ 七分つき米,359.0,9.5,1.5,73.4
01105,153,こめ ［陸稲穀粒］ 精白米,331.0,9.3,0.9,74.5
01106,154,こめ ［陸稲めし］ 玄米,156.0,4.1,1.0,34.3
01107,155,こめ ［陸稲めし］ 半つき米,157.0,3.8,0.6,35.3
01108,156,こめ ［陸稲めし］ 七分つき米,155.0,3.6,0.5,35.7
01109,157,こめ ［陸稲めし］ 精白米,157.0,3.5,0.3,36.1
01110,158,こめ ［うるち米製品］ アルファ化米 一般用,358.0,6.0,1.0,84.8
01156,159,こめ ［うるち米製品］ アルファ化米 学校給食用強化品,358.0,6.0,1.0,84.8
01111,160,こめ ［うるち米製品］ おにぎり,170.0,2.7,0.3,39.4
01112,161,こめ ［うるち米製品］ 焼きおにぎり,166.0,3.1,0.3,39.5
01113,162,こめ ［うるち米製品］ きりたんぽ,200.0,3.2,0.4,46.2
01114,163,こめ ［うるち米製品］ 上新粉,343.0,6.2,0.9,78.5
01157,164,こめ ［うるち米製品］ 玄米粉,370.0,7.1,2.9,84.1
01158,165,こめ ［うるち米製品］ 米粉,356.0,6.0,0.7,81.9
01211,166,こめ ［うるち米製品］ 米粉パン 食パン,247.0,10.7,5.1,41.6
01212,167,こめ ［うるち米製品］ 米粉パン ロールパン,256.0,8.8,6.7,42.0
01159,168,こめ ［うるち米製品］ 米粉パン 小麦グルテン不使用のもの,247.0,3.4,3.1,51.3
01160,169,こめ ［うるち米製品］ 米粉めん,252.0,3.6,0.7,58.4
01115,170,こめ ［うるち米製品］ ビーフン,360.0,7.0,1.6,79.9
01169,171,こめ ［うるち米製品］ ライスペーパー,339.0,0.5,0.3,84.3
01116,172,こめ ［うるち米製品］ 米こうじ,260.0,5.8,1.7,59.2
01117,173,こめ ［もち米製品］ もち,223.0,4.0,0.6,50.8
01118,174,こめ ［もち米製品］ 赤飯,186.0,4.3,0.6,41.9
01119,175,こめ ［もち米製品］ あくまき,131.0,2.3,1.8,25.7
01120,176,こめ ［もち米製品］ 白玉粉,347.0,6.3,1.0,80.0
01121,177,こめ ［もち米製品］ 道明寺粉,349.0,7.1,0.7,80.4
01161,178,こめ ［その他］ 米ぬか,374.0,13.4,19.6,48.8
01122,179,そば そば粉 全層粉,339.0,12.0,3.1,69.6
01123,180,そば そば粉 内層粉,342.0,6.0,1.6,77.6
01124,181,そば そば粉 中層粉,334.0,10.2,2.7,71.6
01125,182,そば そば粉 表層粉,337.0,15.0,3.6,65.1
01126,183,そば そば米,347.0,9.6,2.5,73.7
01127,184,そば そば 生,271.0,9.8,1.9,54.5
01128,185,そば そば ゆで,130.0,4.8,1.0,26.0
01197,186,そば そば 半生そば,325.0,10.5,3.8,61.8
01129,187,そば 干しそば 乾,344.0,14.0,2.3,66.7
01130,188,そば 干しそば ゆで,113.0,4.8,0.7,22.1
01131,189,とうもろこし 玄穀 黄色種,341.0,8.6,5.0,70.6
01162,190,とうもろこし 玄穀 白色種,341.0,8.6,5.0,70.6
01132,191,とうもろこし コーンミール 黄色種,375.0,8.3,4.0,72.4
01163,192,とうもろこし コーンミール 白色種,375.0,8.3,4.0,72.4
01133,193,とうもろこし コーングリッツ 黄色種,352.0,8.2,1.0,76.4
01164,194,とうもろこし コーングリッツ 白色種,352.0,8.2,1.0,76.4
01134,195,とうもろこし コーンフラワー 黄色種,347.0,6.6,2.8,76.1
01165,196,とうもろこし コーンフラワー 白色種,347.0,6.6,2.8,76.1
01135,197,とうもろこし ジャイアントコーン フライ 味付け,409.0,5.7,11.8,76.6
01136,198,とうもろこし ポップコーン,472.0,10.2,22.8,59.6
01137,199,とうもろこし コーンフレーク,380.0,7.8,1.7,83.6
01138,200,はとむぎ 精白粒,353.0,13.3,1.3,72.2
01139,201,ひえ 精白粒,361.0,9.4,3.3,73.2
01140,202,もろこし 玄穀,344.0,10.3,4.7,71.1
01141,203,もろこし 精白粒,348.0,9.5,2.6,74.1
01142,204,ライむぎ 全粒粉,317.0,12.7,2.7,70.7
01143,205,ライむぎ ライ麦粉,324.0,8.5,1.6,75.8
02068,206,＜いも類＞ アメリカほどいも 塊根 生,146.0,5.9,0.6,35.6
02069,207,＜いも類＞ アメリカほどいも 塊根 ゆで,144.0,6.0,0.8,34.5
02001,208,＜いも類＞ きくいも 塊茎 生,66.0,1.9,0.4,14.7
02041,209,＜いも類＞ きくいも 塊茎 水煮,51.0,1.6,0.5,11.3
02002,210,＜いも類＞ こんにゃく 精粉,194.0,3.0,0.1,85.3
02003,211,＜いも類＞ こんにゃく 板こんにゃく 精粉こんにゃく,5.0,0.1,0.0,2.3
02004,212,＜いも類＞ こんにゃく 板こんにゃく 生いもこんにゃく,8.0,0.1,0.1,3.3
02042,213,＜いも類＞ こんにゃく 赤こんにゃく,6.0,0.1,0.0,2.5
02043,214,＜いも類＞ こんにゃく 凍みこんにゃく 乾,192.0,3.3,1.4,77.1
02044,215,＜いも類＞ こんにゃく 凍みこんにゃく ゆで,42.0,0.7,0.3,16.8
02005,216,＜いも類＞ こんにゃく しらたき,7.0,0.2,0.0,3.0
02045,217,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 生,127.0,0.9,0.5,33.1
02046,218,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 蒸し,129.0,0.9,0.2,33.7
02047,219,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 天ぷら,205.0,1.4,6.8,38.4
02006,220,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生,126.0,1.2,0.2,31.9
02007,221,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 蒸し,131.0,1.2,0.2,31.9
02008,222,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 焼き,151.0,1.4,0.2,39.0
02009,223,＜いも類＞ （さつまいも類） さつまいも 蒸し切干,277.0,3.1,0.6,71.9
02048,224,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 生,123.0,1.2,0.3,31.7
02049,225,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 蒸し,122.0,1.2,0.3,31.4
02010,226,＜いも類＞ （さといも類） さといも 球茎 生,53.0,1.5,0.1,13.1
02011,227,＜いも類＞ （さといも類） さといも 球茎 水煮,52.0,1.5,0.1,13.4
02012,228,＜いも類＞ （さといも類） さといも 球茎 冷凍,69.0,2.2,0.1,16.1
02050,229,＜いも類＞ （さといも類） セレベス 球茎 生,80.0,2.2,0.3,19.8
02051,230,＜いも類＞ （さといも類） セレベス 球茎 水煮,77.0,2.1,0.3,19.1
02052,231,＜いも類＞ （さといも類） たけのこいも 球茎 生,97.0,1.7,0.4,23.5
02053,232,＜いも類＞ （さといも類） たけのこいも 球茎 水煮,86.0,1.6,0.4,21.8
02013,233,＜いも類＞ （さといも類） みずいも 球茎 生,111.0,0.7,0.4,27.6
02014,234,＜いも類＞ （さといも類） みずいも 球茎 水煮,101.0,0.7,0.4,26.1
02015,235,＜いも類＞ （さといも類） やつがしら 球茎 生,94.0,3.0,0.7,20.5
02016,236,＜いも類＞ （さといも類） やつがしら 球茎 水煮,92.0,2.7,0.6,20.0
02063,237,＜いも類＞ じゃがいも 塊茎 皮つき 生,51.0,1.8,0.1,15.9
02064,238,＜いも類＞ じゃがいも 塊茎 皮つき 電子レンジ調理,78.0,2.1,0.2,19.2
02065,239,＜いも類＞ じゃがいも 塊茎 皮つき フライドポテト （生を揚げたもの）,153.0,2.7,5.6,25.4
02017,240,＜いも類＞ じゃがいも 塊茎 皮なし 生,59.0,1.8,0.1,17.3
02019,241,＜いも類＞ じゃがいも 塊茎 皮なし 水煮,71.0,1.7,0.1,16.9
02018,242,＜いも類＞ じゃがいも 塊茎 皮なし 蒸し,76.0,1.9,0.3,18.1
02066,243,＜いも類＞ じゃがいも 塊茎 皮なし 電子レンジ調理,78.0,1.9,0.1,19.0
02067,244,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （生を揚げたもの）,159.0,2.7,5.9,26.2
02020,245,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （市販冷凍食品を揚げたもの）,229.0,2.9,10.6,32.4
02021,246,＜いも類＞ じゃがいも 乾燥マッシュポテト,347.0,6.6,0.6,82.8
02054,247,＜いも類＞ ヤーコン 塊根 生,52.0,0.6,0.3,12.4
02055,248,＜いも類＞ ヤーコン 塊根 水煮,42.0,0.6,0.3,9.9
02022,249,＜いも類＞ （やまのいも類） ながいも いちょういも 塊根 生,108.0,4.5,0.5,22.6
02023,250,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 生,64.0,2.2,0.3,13.9
02024,251,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 水煮,58.0,2.0,0.3,12.6
02025,252,＜いも類＞ （やまのいも類） ながいも やまといも 塊根 生,119.0,4.5,0.2,27.1
02026,253,＜いも類＞ （やまのいも類） じねんじょ 塊根 生,118.0,2.8,0.7,26.7
02027,254,＜いも類＞ （やまのいも類） だいじょ 塊根 生,102.0,2.6,0.1,25.0
02070,255,＜でん粉・でん粉製品＞ （でん粉類） おおうばゆりでん粉,327.0,0.1,0.1,83.6
02028,256,＜でん粉・でん粉製品＞ （でん粉類） キャッサバでん粉,354.0,0.1,0.2,85.3
02029,257,＜でん粉・でん粉製品＞ （でん粉類） くずでん粉,356.0,0.2,0.2,85.6
02030,258,＜でん粉・でん粉製品＞ （でん粉類） 米でん粉,375.0,0.2,0.7,89.3
02031,259,＜でん粉・でん粉製品＞ （でん粉類） 小麦でん粉,360.0,0.2,0.5,86.0
02032,260,＜でん粉・でん粉製品＞ （でん粉類） サゴでん粉,357.0,0.1,0.2,86.1
02033,261,＜でん粉・でん粉製品＞ （でん粉類） さつまいもでん粉,340.0,0.1,0.2,82.0
02034,262,＜でん粉・でん粉製品＞ （でん粉類） じゃがいもでん粉,338.0,0.1,0.1,81.6
02035,263,＜でん粉・でん粉製品＞ （でん粉類） とうもろこしでん粉,363.0,0.1,0.7,86.3
02036,264,＜でん粉・でん粉製品＞ （でん粉製品） くずきり 乾,341.0,0.2,0.2,87.7
02037,265,＜でん粉・でん粉製品＞ （でん粉製品） くずきり ゆで,133.0,0.1,0.1,33.3
02056,266,＜でん粉・でん粉製品＞ （でん粉製品） ごま豆腐,75.0,1.5,4.3,9.1
02038,267,＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール 乾,352.0,0.0,0.2,87.8
02057,268,＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール ゆで,61.0,0.0,0.0,15.4
02058,269,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 生,129.0,0.1,0.2,32.2
02059,270,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾,347.0,0.2,0.3,86.7
02060,271,＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾 ゆで,83.0,0.0,0.2,20.6
02039,272,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ 乾,344.0,0.2,0.4,87.5
02061,273,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ ゆで,78.0,0.0,0.1,20.6
02040,274,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ 乾,346.0,0.0,0.2,86.6
02062,275,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ ゆで,76.0,0.0,0.0,19.9
03001,276,（砂糖類） 黒砂糖,352.0,1.7,0.0,90.3
03030,277,（砂糖類） てんさい含蜜糖,357.0,0.9,0.0,96.9
03002,278,（砂糖類） 和三盆糖,393.0,0.2,0.0,99.0
03003,279,（砂糖類） 車糖 上白糖,391.0,0.0,0.0,99.3
03004,280,（砂糖類） 車糖 三温糖,390.0,0.0,0.0,99.0
03005,281,（砂糖類） ざらめ糖 グラニュー糖,394.0,0.0,0.0,100.0
03006,282,（砂糖類） ざらめ糖 白ざら糖,393.0,0.0,0.0,100.0
03007,283,（砂糖類） ざらめ糖 中ざら糖,393.0,0.0,0.0,100.0
03008,284,（砂糖類） 加工糖 角砂糖,394.0,0.0,0.0,100.0
03009,285,（砂糖類） 加工糖 氷砂糖,394.0,0.0,0.0,100.0
03010,286,（砂糖類） 加工糖 コーヒーシュガー,394.0,0.1,0.0,99.8
03011,287,（砂糖類） 加工糖 粉糖,393.0,0.0,0.0,99.7
03012,288,（砂糖類） 液糖 しょ糖型液糖,267.0,0.0,0.0,67.9
03013,289,（砂糖類） 液糖 転化型液糖,294.0,0.0,0.0,76.6
03014,290,（砂糖類） 氷糖みつ,274.0,0.2,0.0,68.2
03031,291,（でん粉糖類） 還元麦芽糖,208.0,0.0,0.0,100.0
03032,292,（でん粉糖類） 還元水あめ,210.0,0.0,0.0,69.9
03015,293,（でん粉糖類） 粉あめ,397.0,0.0,0.0,97.0
03024,294,（でん粉糖類） 水あめ 酵素糖化,342.0,0.0,0.0,85.0
03025,295,（でん粉糖類） 水あめ 酸糖化,341.0,0.0,0.0,85.0
03017,296,（でん粉糖類） ぶどう糖 全糖,342.0,0.0,0.0,91.0
03018,297,（でん粉糖類） ぶどう糖 含水結晶,342.0,0.0,0.0,91.3
03019,298,（でん粉糖類） ぶどう糖 無水結晶,374.0,0.0,0.0,99.7
03020,299,（でん粉糖類） 果糖,375.0,0.0,0.0,99.9
03026,300,（でん粉糖類） 異性化液糖 ぶどう糖果糖液糖,283.0,0.0,0.0,75.0
